gene	log2FoldChange
blaVIM-48_1_KY362199	2.51685191591839
ant(6)-Ia_5_AB247327	2.56516751677752
blaTEM-163_1_EU815939	2.56754972913027
blaOXA-490_1_KU721147	2.59643155869974
tet(G)_1_AF133139	2.59789853457923
blaTEM-145_1_DQ105528	2.60053488539247
blaACT-1_1_U58495	2.6016890509619
blaTEM-52B_1_AF027199	2.61228879336554
cphA7_1_AY227053	2.63032547760522
blaVIM-18_1_AM778091	2.67197349761396
blaTEM-219_1_KM114268	2.67429584722092
fosA6_1_KU254579	2.70908992114167
aph(3')-III_1_M26832	2.71850299591325
blaTEM-171_1_GQ149347	2.76073518445083
ant(6)-Ia_3_KF864551	2.78217312679721
mcr-3.6_1_MF598076	2.7939895394094
aadA11_1_AY144590	2.82167467899496
aph(3')-VIa_1_X07753	2.89394484342912
mef(A)_2_U83667	2.93656985161542
blaCMY-66_1_JN714478	2.9887899381746
catS_1_X74948	2.99441974629259
blaOXA-37_1_AY007784	3.01552562088527
blaTEM-97_1_AF397067	3.04993259519867
mph(E)_2_JF769133	3.14098722830003
mph(E)_1_DQ839391	3.16426547704301
blaTEM-231_1_MG821378	3.22628638290996
msr(E)_1_FR751518	3.25316473429034
blaOXA-420_1_AB983359	3.26495339516021
dfrA17_1_FJ460238	3.30330655262109
aac(6')-IIa_1_M29695	3.33439799995795
qnrB8_1_EU043312	3.33921339224039
mdf(A)_1_Y08743	3.35530820053291
mcr-9_1_NZ_NAAN01000063.1	3.36861721937532
blaVIM-9_1_AY524988	3.38302538520755
blaTEM-150_1_AM183304	3.40081011909946
erm(B)_20_AF109075	3.44025661658415
dfrA12_8_AM040708	3.46254624140639
erm(B)_7_AF368302	3.46398171804526
tet(E)_1_Y19116	3.47815064239754
erm(T)_4_AJ488494	3.48091562289223
blaVIM-36_1_JX982635	3.52595418240913
aph(3')-VI_2_APPJ01000012	3.53934747809683
mcr-7.1_1_MG267386	3.559961390953
tet(E)_2_L06940	3.58359706949195
blaACT-10_1_JN848330	3.70641725721695
qnrB21_1_FJ611948	3.73098048515312
erm(B)_23_X72021	3.76202081041127
erm(B)_15_U48430	3.86034966805134
tet(E)_3_CP000645	3.92564067032635
blaVIM-23_1_GQ242167	3.96570008073774
blaVIM-3_1_AF300454	4.08154340492041
erm(B)_26_AF080450	4.08629612269223
blaVIM-31_1_JN982330	4.09957424994433
ampH_1_AJ276031	4.10135000262921
blaVIM-51_1_KU746270	4.11837092601097
blaVIM-41_1_KP771862	4.17679014215116
blaVIM-50_1_KU663375	4.20013300348243
blaVIM-17_1_EU118148	4.24813424702133
blaVIM-20_1_GQ414736	4.28020681445674
blaVIM-24_1_HM855205	4.28216902560612
erm(B)_22_X52632	4.29537627182042
qnrB38_1_JN173060	4.33940483486922
aac(3)-I_1_AJ877225	4.34644833157738
mef(A)_3_AF227520	4.34714274892665
aph(3')-VI_1_KC170992	4.35269486015555
blaVIM-56_1_MG834535	4.37651760129276
erm(B)_9_AF299292	4.39912090910187
blaCMY-1_1_X92508	4.41852075327245
dfrA12_4_EU650399	4.42131719271363
erm(B)_1_JN899585	4.43971960532488
dfrA12_5_FR875302	4.44051754793037
qnrB35_1_JN173057	4.46488677468315
aadA11_2_AJ567827	4.47201187458582
blaVIM-16_1_EU419746	4.50245475780751
blaVIM-6_1_AY165025	4.50994334949007
erm(B)_2_K00551	4.53404753067267
blaVIM-45_1_KP681695	4.54571099447008
blaVIM-11_1_AY605049	4.54918385546378
blaVIM-46_1_KP749829	4.54918385546378
blaVIM-30_1_JN129451	4.59616979661047
blaOXA-512_1_KU726870	4.62367822711249
blaOXA-18_1_U85514	4.63313053051252
blaOXA-397_1_KM087865	4.63427075635971
blaVIM-10_1_AY524989	4.65966962093423
blaVIM-15_1_EU419745	4.70820301050745
catB1_1_M58472	4.72268819180945
blaMOX-7_1_GQ152602	4.7252418884872
blaOXA-96_1_DQ519090	4.7281305664418
erm(B)_6_AF242872	4.73225245579506
aac(6')-Ii_1_L12710	4.77158161456777
VanC4XY_1_EU151752	4.78443605436363
cphA1_7_X57102	4.8014185326583
ampS_1_X80276	4.81297072191421
imiS_1_Y10415	4.85100377851646
blaMOX-6_1_GQ152601	4.88369670262483
aac(3)-IIIc_1_L06161	4.91748006031807
erm(B)_11_M19270	4.92401278612971
blaMOX-4_1_FJ262599	4.9456314298603
erm(B)_12_U18931	4.96440696365708
imiH_1_AJ548797	4.97976674566243
blaOXA-164_1_GU831575	5.04247980660905
blaMOX-2_1_AJ276453	5.06209487276384
blaOXA-97_1_EF102240	5.08288868741421
ampH_2_HQ586946	5.12081795516726
erm(B)_18_X66468	5.1223552522165
blaOXA-58_1_AY665723	5.15424719866188
msr(C)_1_AY004350	5.17775010323354
blaVIM-2_1_AF302086	5.29738138110029
blaMOX-5_1_GQ152600	5.32127535537894
VanHAX_1_FJ866609	5.41118306727153
erm(B)_10_U86375	5.60539141928415
erm(B)_21_U35228	5.63566245753562
blaOXA-275_1_APPJ01000001	5.6917984785619
tet(39)_1_KT346360	5.70005369996653
VanHBX_1_AF192329	5.76693280785966
blaMOX-3_1_EU515248	5.93669179197844
cphA2_6_AHU60294	6.03647703746424
VanHAX_2_M97297	6.12036061524155
cphA1_1_AY261379	6.23518583069838
blaOXA-280_1_APPZ01000001	6.24587697983864
blaOXA-281_1_APON01000041	6.25206693048495
VanHOX_1_KF478993	6.48059766516632
dfrA3_1_J03306	6.63660515834574
blaOXA-427_1_KX827604	6.73705431803946
blaOXA-309_1_HF947514	7.00264217923408
blaOXA-333_1_KF203107	7.01277888413778
blaOXA-296_1_APOH01000009	7.15282764536006
blaOXA-373_1_HG931732	7.23051507166525
aac(6')-Ig_1_L09246	7.29699760814675
blaOXA-334_1_KF203108	7.36162392246907
blaOXA-212_1_JN861780	7.39956175927143
blaOXA-299_1_APQD01000016	7.66215468933615
blaOXA-211_1_JN861779	8.09755027755116
