gene	log2FoldChange
dfrA27_1_FJ459817	1.33154021120205
oqxA_1_EU370913	1.33402720145143
blaOXA-181_1_CM004561	1.33615702710527
aph(3')-Ia_1_V00359	1.34152283002745
VanG2XY_1_FJ872410	1.3434149532767
blaCMY-143_1_KY009534	1.34370004210813
blaCTX-M-196_1_KY563769	1.3450226627135
blaCMY-36_1_EU331426	1.35153950113342
aph(3')-Ia_4_AF498082	1.35236400937976
blaCMY-27_1_EU515250	1.35412291947016
blaCMY-19_1_AB194410	1.35685753113448
POM-1_1_GU002295	1.35700790057374
blaCTX-M-144_1_KJ020573	1.36058226214963
blaCMY-44_1_FJ437066	1.3628305366751
blaCTX-M-132_1_JX313020	1.37211355191523
aph(3')-VI_1_KC170992	1.37969399224462
dfrA12_9_DQ995286	1.38502855661858
blaCMY-133_1_KP862819	1.38644434696308
blaCTX-M-24_1_EF374096	1.39104936119363
blaCMY-59_1_NG_048854	1.39993212222411
dfrA17_4_JQ837988	1.41811379051995
dfrA17_8_AM932673	1.42104064505432
blaCMY-7_1_DQ173300	1.42436958846389
dfrA17_1_FJ460238	1.43831598276207
blaCMY-139_1_KU641016	1.44049012490393
blaCMY-15_1_AJ555823	1.46036397195427
blaCMY-142_1_KX881969	1.46204176679768
blaCARB-14_1_JQ364968	1.47625965101072
blaNDM-14_1_KM210086	1.4973673889945
blaCMY-12_1_Y16785	1.49895408037836
blaCMY-95_1_JX514369	1.49958131781289
blaNDM-17_1_KX812714	1.50321678530572
blaCMY-6_1_AJ011293	1.5034677505342
blaCMY-43_1_FJ360626	1.51493825225556
dfrA19_1_EU855687	1.51570842594472
blaCMY-53_1_HQ336940	1.51952707809239
blaCMY-45_1_FN546177	1.52574599004337
blaVIM-33_1_JX258134	1.53332890276242
aac(6')-Ia_1_M18967	1.54052032004524
blaOXA-13_1_U59183	1.54153507486189
blaMOX-4_1_FJ262599	1.55216483964188
qnrB3_1_DQ303920	1.55646084928778
blaCMY-94_1_JX514368	1.56013065910759
erm(B)_20_AF109075	1.56568377485904
