"r"	"p"	"p.ad"	"Gene"
0.501172788284111	0.000375308036316076	1.56177089329298e-05	"sul2_10_AM183225"
0.435921538858547	0.00459455637233293	0.00022667266530171	"sul2_11_AY232670"
0.449846330042301	0.00289009888923252	0.000133904195640117	"sul2_12_AF497970"
0.386114849782522	0.0202397334057892	0.00125033102120705	"sul2_13_AJ289135"
0.448816935814899	0.00297953392742849	0.000139326125306609	"sul2_14_AJ514834"
0.514256521503971	0.000213748588660174	8.52793596971092e-06	"sul2_15_FJ968160"
0.387395249626158	0.0199610595964246	0.00120049353331123	"sul2_17_U57647"
0.383345169956728	0.0216382297184116	0.00136457304530524	"sul2_18_AJ830714"
0.438024301777801	0.00428689057582435	0.000209654880156146	"sul2_19_AJ319822"
0.447850358471138	0.00303660600317888	0.000144600285865661	"sul2_20_AJ830710"
0.42362118398473	0.00699804899208307	0.000354255590332819	"sul2_21_AB366440"
0.883832823220148	3.31220786282578e-21	3.97862806345439e-23	"sul1_34_AY047357"
0.827754588696418	4.06573868546987e-16	5.7558720128917e-18	"sul1_35_AB281182"
0.84906895060908	8.69152706191352e-18	1.11860065146892e-19	"sul1_38_BX248359"
0.926152854035832	1.4720725339854e-26	3.15759874299742e-29	"sul1_39_AY522923"
0.827530772849854	4.10097443994838e-16	5.981687299796e-18	"sul1_36_X15024"
0.914824433393395	4.54009387269742e-25	2.72678310672518e-27	"sul1_37_AF188331"
0.357818741796642	0.0419355300786239	0.00295041910463076	"tet(A)_1_AJ313332"
0.319439778668183	0.0990684441293141	0.00841508019631239	"tet(A)_2_X00006"
0.338426933697608	0.0648549705646907	0.00509157426569644	"tet(A)_3_AY196695"
0.343290979044379	0.0583313570338265	0.0044543035401206	"tet(A)_4_AJ517790"
0.367878129092166	0.0327736547098946	0.00219334626115125	"tet(A)_5_AJ419171"
0.356312360770776	0.0430174145099196	0.00308189970963388	"tet(A)_6_AF534183"
0.358539276722323	0.0413533882566149	0.00288931488343817	"tet(G)_2_AF133140"
0.383576059239474	0.0216288424733503	0.0013547022741781	"tet(G)_3_S52437"
0.507256629762986	0.000293216812505181	1.18242730053569e-05	"tet(C)_1_NC_003123"
0.492730937210114	0.000536329407016574	2.27784690238699e-05	"tet(C)_2_AY046276"
0.486031504293112	0.000711377751994729	3.051813607871e-05	"tet(C)_3_AF055345"
